ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600613.SH,20120104,8.2,8.2,7.84,7.86,8.16,-0.3,-3.68,4762.98,3854.1
600690.SH,20120104,9.0,9.17,8.78,8.78,8.93,-0.15,-1.68,142288.41,127992.605
300277.SZ,20120104,22.9,22.98,20.81,20.88,22.68,-1.8,-7.94,12212.39,26797.137
002403.SZ,20120104,8.87,8.9,8.4,8.4,8.84,-0.44,-4.98,10331.97,9013.4317
300179.SZ,20120104,19.99,20.32,19.2,19.5,19.96,-0.46,-2.3,1532.31,3008.0594
600000.SH,20120104,8.54,8.56,8.39,8.41,8.49,-0.08,-0.94,342013.79,290229.551
300282.SZ,20120104,22.9,23.33,21.02,21.02,23.35,-2.33,-9.98,38408.6,86216.2356
002319.SZ,20120104,9.74,9.95,9.38,9.41,9.73,-0.32,-3.29,4809.74,4671.4803
601991.SH,20120104,5.17,5.39,5.12,5.25,5.16,0.09,1.74,145268.38,76547.749
000780.SZ,20120104,10.42,10.49,10.0,10.0,10.3,-0.3,-2.91,20362.3,20830.1761
002132.SZ,20120104,7.05,7.1,6.88,6.99,7.04,-0.05,-0.71,127887.88,89043.3996
000936.SZ,20120104,4.9,4.94,4.68,4.69,4.88,-0.19,-3.89,36075.68,17388.479
601992.SH,20120104,8.45,8.53,8.05,8.07,8.41,-0.34,-4.04,63765.29,52697.249
002294.SZ,20120104,24.5,25.09,24.41,24.8,24.23,0.57,2.35,10996.34,27254.207
000410.SZ,20120104,6.95,6.99,6.5,6.55,6.88,-0.33,-4.8,28655.26,19416.0472
002124.SZ,20120104,7.13,7.59,7.1,7.17,7.03,0.14,1.99,17025.48,12520.3689
002064.SZ,20120104,4.79,4.85,4.67,4.7,4.75,-0.05,-1.05,17230.19,8201.5327
300192.SZ,20120104,13.84,14.0,13.45,14.0,13.82,0.18,1.3,2792.54,3858.6772
002586.SZ,20120104,22.8,23.08,21.74,21.74,22.29,-0.55,-2.47,5041.9,11259.3699
600467.SH,20120104,9.23,9.43,9.03,9.04,9.24,-0.2,-2.16,24475.72,22642.693
601116.SH,20120104,10.22,10.41,10.01,10.06,10.17,-0.11,-1.08,7948.42,8140.541
002633.SZ,20120104,13.1,13.31,12.7,12.7,13.1,-0.4,-3.05,16365.3,21375.7771
600675.SH,20120104,3.77,3.77,3.69,3.69,3.73,-0.04,-1.07,72609.65,27139.098
000839.SZ,20120104,6.8,6.81,6.48,6.48,6.69,-0.21,-3.14,48914.35,32575.2681
300255.SZ,20120104,18.27,18.39,17.19,17.19,18.1,-0.91,-5.03,7288.68,13089.2267
600448.SH,20120104,3.51,3.52,3.33,3.34,3.46,-0.12,-3.47,20479.48,7021.786
600663.SH,20120104,11.4,11.43,11.03,11.05,11.33,-0.28,-2.47,5105.66,5706.523
000999.SZ,20120104,17.3,17.6,16.09,16.18,17.3,-1.12,-6.47,63575.95,105453.9903
002102.SZ,20120104,6.12,6.16,5.73,5.75,6.11,-0.36,-5.89,123913.05,73942.5517
600110.SH,20120104,3.92,3.93,3.75,3.76,3.83,-0.07,-1.83,47159.24,18134.89
600256.SH,20120104,20.6,21.0,19.75,20.15,20.58,-0.43,-2.09,87815.25,177620.302
002397.SZ,20120104,26.2,26.2,24.81,24.98,26.2,-1.22,-4.66,1512.62,3810.0954
300115.SZ,20120104,36.97,36.98,34.92,35.08,36.55,-1.47,-4.02,15580.22,54670.5145
002222.SZ,20120104,6.6,6.64,6.25,6.27,6.5,-0.23,-3.54,13217.8,8569.5974
300133.SZ,20120104,33.71,34.8,33.5,33.55,33.5,0.05,0.15,13695.79,46761.7386
002245.SZ,20120104,5.13,5.13,4.92,4.95,5.06,-0.11,-2.17,15219.6,7663.7999
601633.SH,20120104,12.02,12.27,11.86,11.87,11.97,-0.1,-0.84,42054.03,50628.735
002609.SZ,20120104,13.38,13.38,12.15,12.3,13.29,-0.99,-7.45,9505.28,12284.9761
002329.SZ,20120104,13.7,13.88,13.4,13.55,13.65,-0.1,-0.73,3078.36,4189.3672
002433.SZ,20120104,23.18,23.52,22.82,23.03,21.38,1.65,7.72,30209.19,70666.911
600076.SH,20120104,3.65,3.72,3.51,3.58,3.65,-0.07,-1.92,18266.69,6657.91
300170.SZ,20120104,18.5,18.5,17.24,17.34,18.47,-1.13,-6.12,10393.23,18455.4523
600982.SH,20120104,9.94,9.96,9.7,9.74,9.94,-0.2,-2.01,7082.22,6944.041
600064.SH,20120104,9.08,9.15,8.83,8.83,9.03,-0.2,-2.21,19392.67,17413.945
000669.SZ,20120104,19.51,19.66,17.33,17.33,19.25,-1.92,-9.97,9611.08,17441.7453
000893.SZ,20120104,12.95,13.12,12.81,12.81,12.93,-0.12,-0.93,7025.42,9122.4202
600871.SH,20120104,7.28,7.39,7.22,7.23,7.25,-0.02,-0.28,9591.4,7007.028
